
|                                                                                                                        :address |                                                                                        :address-c | :postal-c | :c | :score |                  :x |                 :y |                                  :id |
|                                                                                 Rua Ferreira de Lemos, 302 4780-468 SANTO TIRSO |                                    Rua Ferreira de Lemos 302, 4780-468, Orgal, Santo Tirso, Porto |  4780-468 |  2 |    100 |   -8.47649999357597 |  41.33552000454418 | f56a27a0-bb92-3161-8285-b44e17a2a171 |
|                                                                               Rua Prof. José Maria Castelão 3250-115 ALVAIAZERE |                                       Rua Prof. José Maria Castelão, 3250-115, Alvaiázere, Leiria |  3250-115 |  1 |    100 |  -8.379975573227787 |  39.82063056073496 | 1a53b3cc-71f6-331e-9ba0-b10322dc2c0e |
|                                                                              Rua D. Carlos de Mascarenhas, 76-A 1070-083 LISBOA |                                               Rua Dom Carlos de Mascarenhas 76A, 1070-083, Lisboa |  1070-083 |  1 |  99.99 |  -9.164670002257765 |  38.72648001589184 | 473206e9-8bdd-3096-8f6a-9cd2a22d6fed |
|                                                                               Rua dos Benguiados 131 - A 4480-794 VILA DO CONDE |                                           Rua dos Benguiados 131A, 4480-794, Vila do Conde, Porto |  4480-794 |  1 |  99.99 |  -8.745590014730396 | 41.358180018774306 | 1f710f18-6e5b-30b4-a540-a9e8cb25a6e5 |
|                                                                                        Rua Nuno Tristão, 1 B, 2830-095 Barreiro |                                                  Rua Nuno Tristão 1B, 2830-095, Barreiro, Setúbal |  2830-095 |  1 |  99.99 |  -9.060819982113685 |   38.6559400142431 | 204fd63b-ef82-3f11-a166-e882e0eb13ef |
|                                                                                       Rua do Menino de Jesus, 35 7000-601 ÉVORA |                                                              Rua Menino Jesus 35, 7000-601, Évora |  7000-601 |  1 |  99.99 |  -7.908729989039131 |  38.57335999541607 | 4635399f-a4d4-374a-9aad-3e0c0989de90 |
|                                                                                  Rua Manuel Lemos Peixoto, 2 A 2610-110 AMADORA |                                 Rua Manuel Lemos Peixoto 2A, 2610-110, Alfragide, Amadora, Lisboa |  2610-110 |  1 |  99.99 |  -9.212169996095895 |  38.73674001020228 | 4c4803a4-eb4c-35b8-ba0a-ca28b6fc657a |
|                                                                          Rua Prudêncio Franco da Trindade 9 B 2655-344 ERICEIRA |                            Rua Prudêncio Franco da Trindade 9B, 2655-344, Ericeira, Mafra, Lisboa |  2655-344 |  1 |  99.99 |   -9.41574002123238 | 38.963920012565296 | fa735fd1-91c3-301e-9ab8-4539da2056c4 |
|                                                                                  Urbanização Dr. Leite Lage, 75 B 4820-365 FAFE |                                          Urbanização Doutor Leite Lage 75B, 4820-365, Fafe, Braga |  4820-365 |  1 |  99.99 |  -8.179650031113823 | 41.448220015246534 | 715c45fe-362f-3ea0-b2dd-ff027a18d682 |
|                                                                               Rua Professor Roque Duarte, 13 B, 2510-554 ÓBIDOS |                            Rua Professor Roque Duarte 13B, 2510-554, Olho Marinho, Óbidos, Leiria |  2510-554 |  1 |  99.99 |  -9.231690023667966 |  39.32834999138879 | 7e61d596-7155-3bb1-be16-2876f55c07ae |
|                                                                             Rua Dr. Bernardo Pinheiro de Aragão 5100-118 LAMEGO |                                         Rua Dr. Bernardo Pinheiro Aragão, 5100-118, Lamego, Viseu |  5100-118 |  2 |  99.98 |  -7.812142936317615 |  41.09719759187848 | 092fd767-d6d1-3bbe-ab82-418ca21bce85 |
|                                                                                        Rua Dr. Luis de Freitas 5120-415 TABUAÇO |                                                    Rua Dr. Luís Freitas, 5120-415, Tabuaço, Viseu |  5120-415 |  3 |  99.98 |  -7.566207996988302 |  41.11662831190703 | 8b1d98a1-50cb-3f43-9784-476c7c4b5672 |
|                                                               Rua Dr. Victor Santos Pinto, Lote 131 B ; 6000-478 Castelo Branco |                                     Rua Dr. Victor dos Santos Pinto 131, 6000-478, Castelo Branco |  6000-478 |  1 |   99.8 |  -7.508620008597433 |  39.81822001273662 | 939cca9e-7d29-32b6-b0a5-c061920266e8 |
|                                                                           Rua António Nobre 16- A 3400-084 OLIVEIRA DO HOSPITAL |               Rua António Nobre 16, 3400-084, São Paio de Gramaços, Oliveira do Hospital, Coimbra |  3400-084 |  1 |  99.77 |  -7.858690027081735 | 40.354710011908196 | 881ff11f-5e05-375e-8020-476092082152 |
