
|  address | score |                   x |                  y |
| 2700-821 |   100 |   -9.22328004111688 |  38.75702501216773 |
| 2705-830 |   100 |  -9.357444974294594 |  38.83109044229201 |
| 2710-043 |   100 |  -9.357710010072935 | 38.770990017229224 |
| 2715-097 |   100 |  -9.326139990857882 |  38.86001001990411 |
| 2720-172 |   100 |  -9.211725000856177 |  38.74815498886073 |
| 2720-233 |   100 |  -9.214475019469091 |  38.74812498164749 |
| 2725-171 |   100 |  -9.348390004294174 | 38.786114993871365 |
| 2725-316 |   100 |  -9.353945026804695 | 38.798329983278336 |
| 2725-472 |   100 |  -9.341750028236675 |  38.79586000405061 |
| 2725-563 |   100 |   -9.32975502187844 |   38.7935999914975 |
| 2725-597 |   100 |  -9.349025017278677 | 38.806735020506494 |
| 2730-117 |   100 |   -9.28176996730349 | 38.750484990305495 |
| 2735-001 |   100 |   -9.29397996947813 | 38.747885007759464 |
| 2735-296 |   100 |  -9.303114986653895 |  38.76896499133164 |
| 2735-476 |   100 |  -9.312764987960804 | 38.772069983543986 |
| 2735-651 |   100 |  -9.300264971936258 |  38.74826998857236 |
| 2745-123 |   100 |  -9.268450033510192 |  38.75727001519749 |
| 2745-201 |   100 |   -9.25112002959986 | 38.756515015268974 |
| 2745-822 |   100 |  -9.280410003513282 |  38.75535998901137 |
| 2750-011 |   100 |  -9.448289968747702 | 38.726185014809516 |
| 2750-100 |   100 |  -9.432084983881623 |  38.70481501738777 |
| 2750-350 |   100 |  -9.420244958912974 | 38.700474993651994 |
| 2765-087 |   100 |  -9.379700016872789 |  38.70532501428636 |
| 2765-200 |   100 |  -9.395290021503001 |   38.7043750093805 |
| 2765-294 |   100 |  -9.404540038390337 |  38.70992500274917 |
| 2765-515 |   100 |  -9.370414963630083 | 38.696560016226385 |
| 2775-273 |   100 |   -9.34521996851322 |  38.68909999667159 |
| 2780-001 |   100 |   -9.30793080912332 |  38.68746766293776 |
| 2780-052 |   100 |  -9.322895020862461 | 38.685904982819125 |
| 2785-338 |   100 |  -9.349475041660185 |  38.69469998809274 |
| 2785-630 |   100 |   -9.34812999765768 |  38.71289500441071 |
| 2790-351 |   100 |  -9.261679970315527 |  38.71903998717619 |
| 2795-134 |   100 |   -9.23975500708434 |  38.70416001356398 |
| 2800-648 |   100 |  -9.156920010762747 | 38.678410010728385 |
| 2810-288 |   100 |  -9.154369984359619 | 38.654469996064165 |
| 2825-001 |   100 |  -9.185830033005118 | 38.666194979411785 |
| 2825-146 |   100 |   -9.19750996362302 |  38.66621501216025 |
| 2830-007 |   100 |  -9.068305021649394 |  38.65658998892491 |
| 2830-095 |   100 |  -9.060855018468885 | 38.654289994693556 |
| 2830-354 |   100 |  -9.074164977797352 |  38.66061502073927 |
| 2840-378 |   100 |   -9.09764000638279 | 38.617375003461575 |
| 2840-732 |   100 |   -9.10046001388713 |  38.61120001348269 |
| 2845-092 |   100 |  -9.122825027034992 | 38.621759996107755 |
| 2845-601 |   100 |  -9.108909978116344 | 38.614624984848604 |
| 2845-607 |   100 |   -9.11664002068187 |  38.63061501580796 |
| 2855-587 |   100 |  -9.149085026769512 |  38.62961501284951 |
| 2860-293 |   100 |  -8.981760027344194 |    38.644934994469 |
| 2870-059 |   100 |   -8.96672498852331 |   38.7157399899865 |
| 2870-260 |   100 |  -8.987465002102567 |  38.71114498875636 |
| 2900-001 |   100 |  -8.903740015301707 |  38.51909999666697 |
| 2900-667 |   100 |  -8.894124966531024 |  38.52471499169468 |
| 2950-210 |   100 |  -8.900354983704347 |  38.57388998315395 |
| 2955-028 |   100 |  -8.912019994534603 | 38.623560009814696 |
| 2955-098 |   100 |   -8.91047495832214 | 38.639345019422194 |
| 2955-162 |   100 |  -8.913460005500099 |  38.63520498789626 |
| 2965-301 |   100 |  -8.742070034491803 |  38.63380001328602 |
| 2970-585 |   100 |  -9.093869993972532 |  38.47297501213524 |
| 2985-216 |   100 |  -8.611095002205559 |   38.6833150166475 |
| 3000-072 |   100 |   -8.41134000029939 | 40.214975010703824 |
| 3000-171 |   100 |  -8.431759992815387 | 40.210230015316256 |
| 3000-337 |   100 |  -8.429414987764005 |  40.20745501863195 |
| 3020-096 |   100 |  -8.435039999166008 |  40.25520998996467 |
| 3030-193 |   100 |  -8.403880022654164 |  40.19318998334609 |
| 3030-328 |   100 |  -8.404589969853191 |  40.20345999403082 |
| 3030-393 |   100 |  -8.408195026408919 |  40.19602499445716 |
| 3030-775 |   100 |  -8.413785001455722 |  40.20130500672457 |
| 3040-262 |   100 |  -8.436904972622585 |  40.19904000693896 |
| 3045-481 |   100 |  -8.505010031398854 |  40.20202501220734 |
| 3050-344 |   100 |  -8.451795004518601 |  40.37485998141352 |
| 3050-345 |   100 |   -8.45290501995612 |   40.3754550127199 |
| 3050-428 |   100 |  -8.430134993246838 | 40.339369997540246 |
| 3060-183 |   100 |  -8.586575001751328 |   40.3431649880219 |
| 3060-318 |   100 |  -8.629499985198265 |  40.40065000783693 |
| 3060-704 |   100 |  -8.755200034359063 |  40.31194998431579 |
| 3070-141 |   100 |  -8.750734994537481 |  40.44038500657325 |
| 3080-143 |   100 |  -8.855409961592159 |  40.15463498893888 |
| 3080-254 |   100 |  -8.872094978053156 | 40.163959981950086 |
| 3090-401 |   100 |  -8.789979987214338 | 40.194200002678826 |
| 3100-480 |   100 |   -8.62352502933868 |  39.91807999551207 |
| 3100-532 |   100 |  -8.631650027181706 | 39.914560015273594 |
| 3105-253 |   100 |  -8.707700040520933 | 39.847715008001614 |
| 3130-080 |   100 |  -8.634020010304653 |  40.15973998706784 |
| 3130-208 |   100 |  -8.641334226653555 |  40.05032408984863 |
| 3130-240 |   100 |  -8.630144972647543 | 40.058055012514046 |
| 3140-261 |   100 |  -8.680549966488229 | 40.176780019037835 |
| 3140-998 |   100 |  -8.651280025323558 |  40.28355000088169 |
| 3150-127 |   100 |  -8.498465022304345 |  40.11414499027387 |
| 3200-203 |   100 |  -8.243935037517872 |  40.11223500599738 |
| 3200-222 |   100 |  -8.249240027856615 |  40.12195000896321 |
| 3220-185 |   100 |  -8.332544997489265 |  40.09089501578865 |
| 3230-257 |   100 |  -8.384489998400397 |  40.02544999589463 |
| 3240-153 |   100 |  -8.437215019221014 |  39.91173502053681 |
| 3240-207 |   100 |   -8.43698594180728 |  39.92243099954101 |
| 3240-326 |   100 |   -8.36050501482589 |  39.92262499868997 |
| 3250-115 |   100 |   -8.38065502624056 |   39.8214799863386 |
| 3260-427 |   100 |  -8.281489987057398 |  39.90133500653394 |
| 3270-051 |   100 |  -8.174936719320158 |  39.90162560711701 |
| 3280-013 |   100 |  -8.211070014262077 |  40.00421000179102 |
| 3300-011 |   100 |  -8.052119961032702 |  40.22092000125946 |
| 3350-151 |   100 |  -8.257765010119329 |   40.2094849898524 |
| 3360-191 |   100 |   -8.28132997652574 |  40.27073998016817 |
| 3400-058 |   100 |  -7.858539991014823 |  40.36190998291687 |
| 3400-084 |   100 |  -7.857184972547543 |  40.35238499769588 |
| 3420-301 |   100 |  -8.026434959855976 | 40.362074980680916 |
| 3420-325 |   100 |  -8.029929962023118 |  40.35954498702654 |
| 3420-330 |   100 |  -8.033335026369059 | 40.361770005133906 |
| 3430-039 |   100 |  -8.010934976865997 |    40.429095002091 |
| 3440-321 |   100 |  -8.128904983461325 | 40.408625011522645 |
| 3440-325 |   100 |  -8.129939980865345 |  40.39968499932422 |
| 3450-123 |   100 |  -8.230805037650612 |  40.39651999268523 |
| 3450-150 |   100 |  -8.229184983404934 |  40.39850000776278 |
| 3450-202 |   100 |  -8.247604970004147 |  40.38981501496869 |
| 3460-009 |   100 |  -8.104160012725856 |  40.53314501444487 |
| 3460-572 |   100 |  -8.080765031315764 | 40.514099989325814 |
| 3460-575 |   100 |  -8.083220006936756 |  40.52005499625585 |
| 3500-189 |   100 |  -7.912300009239573 |  40.64841998771226 |
| 3500-209 |   100 |  -7.909125028135691 |   40.6581199870717 |
| 3500-626 |   100 | -7.9010250083640585 |  40.64210501995041 |
| 3510-069 |   100 |  -7.918999999723837 | 40.653524985841386 |
| 3510-720 |   100 |  -7.926994994248673 |  40.65980001383457 |
| 3520-035 |   100 |  -7.851809993317204 | 40.529924980611554 |
| 3520-056 |   100 | -7.8504750075984475 |  40.53960498913182 |
| 3525-072 |   100 |  -7.898135011968179 |  40.50701501802871 |
| 3530-214 |   100 |  -7.752265002463105 |  40.60382998110907 |
| 3550-124 |   100 |  -7.692947279518876 | 40.668970947465425 |
| 3550-147 |   100 | -7.6963049861118975 |  40.67547501096294 |
| 3560-156 |   100 | -7.7304749878730945 |  40.74021498707134 |
| 3560-172 |   100 | -7.7345500177399344 | 40.743370019245674 |
| 3570-021 |   100 |   -7.54377999694259 |  40.81951998678022 |
| 3600-127 |   100 |   -7.92299079146369 |  40.89873131872099 |
| 3600-187 |   100 | -7.9327400345042065 |  40.90139500373118 |
| 3600-191 |   100 |  -7.928765000742146 |  40.89942001779548 |
| 3610-103 |   100 |  -7.773625025420301 |  41.03097000673006 |
| 3620-301 |   100 |  -7.622825031924435 |  40.98659000871078 |
| 3620-304 |   100 |  -7.614284962236013 |  40.97991499629808 |
| 3620-400 |   100 |  -7.595065006797711 |  41.03911499541215 |
| 3630-240 |   100 |  -7.394426719934813 |  40.99023596895415 |
| 3650-209 |   100 |  -7.724229967093208 |    40.854179994601 |
| 3650-219 |   100 |  -7.732009965801581 |  40.85202500729457 |
| 3660-428 |   100 |   -8.06769496205618 |  40.76001501211897 |
| 3660-482 |   100 |  -8.063720012113265 |  40.76299498824545 |
| 3670-237 |   100 |  -8.113974969887181 |  40.72432499412662 |
| 3680-077 |   100 |  -8.175335027359097 | 40.724339997733296 |
| 3680-094 |   100 |  -8.170590031971528 |  40.73249500278962 |
| 3700-044 |   100 |   -8.50357496575623 | 40.895064990452966 |
| 3700-166 |   100 |  -8.485880013781468 |  40.89618498035543 |
| 3700-241 |   100 |  -8.492195023452894 |  40.89102998417383 |
| 3700-445 |   100 |  -8.496009962864207 | 40.914679984988084 |
| 3700-511 |   100 |  -8.501604967052799 |  40.91976499227803 |
| 3700-766 |   100 |    -8.4575025776669 |  40.88709292043342 |
| 3700-894 |   100 |  -8.451010039286132 | 40.949179982277315 |
| 3720-133 |   100 |  -8.482709978000571 |  40.84121997973011 |
| 3730-240 |   100 |  -8.394040003602413 | 40.848449999861714 |
| 3740-251 |   100 |  -8.368585337125069 |  40.73478305280912 |
| 3740-255 |   100 |  -8.369454959579457 |  40.73195998590995 |
| 3750-055 |   100 |  -8.422415008965118 |   40.5162550185417 |
| 3750-106 |   100 |  -8.441869992968577 | 40.575464992120715 |
| 3750-154 |   100 |  -8.448360016778281 |  40.58181000900544 |
| 3750-181 |   100 |  -8.450990006537609 |  40.56825001750531 |
| 3770-018 |   100 |  -8.596960012147576 | 40.495584993854095 |
| 3770-059 |   100 |  -8.533664992327601 |  40.54280499021655 |
| 3770-215 |   100 |  -8.493275031677115 |  40.51166999177633 |
| 3770-352 |   100 |  -8.601064965408796 |  40.51519001392421 |
| 3780-203 |   100 |  -8.437445018644155 |   40.4386300036864 |
| 3800-212 |   100 |  -8.640329990834175 |  40.64732501779093 |
| 3800-276 |   100 |  -8.628400028044553 |  40.64920998208652 |
| 3810-055 |   100 |  -8.647513784769615 | 40.634390400086716 |
| 3810-195 |   100 |   -8.64413998492256 |  40.63100499130377 |
| 3810-732 |   100 |   -8.57701996740741 |  40.57677001253546 |
| 3830-097 |   100 |  -8.666895008025165 |  40.60009500505407 |
| 3840-429 |   100 |  -8.682875022610062 |  40.54301998603307 |
| 3840-507 |   100 |  -8.683529984524284 | 40.529310000375574 |
| 3850-003 |   100 |   -8.47970003657025 |  40.68988501126421 |
| 3850-089 |   100 |  -8.472190018963147 |  40.68541498421013 |
| 3850-115 |   100 |  -8.486879974830345 | 40.698420009901156 |
| 3860-133 |   100 |  -8.571320021791053 |  40.80595002081526 |
| 3860-358 |   100 |  -8.575454982265569 |  40.75657998246925 |
| 3860-367 |   100 |  -8.570149991926769 | 40.751270004898004 |
| 3870-133 |   100 |  -8.635394977701537 | 40.749469991191006 |
| 3880-001 |   100 |  -8.644069996031021 |  40.86331501177676 |
| 3880-070 |   100 |  -8.621035017362317 |   40.8638849811926 |
| 3880-240 |   100 |   -8.62509001448052 | 40.857880018119715 |
| 3885-401 |   100 |  -8.647904968190915 | 40.955574997214455 |
| 3885-402 |   100 |   -8.65401001118778 |   40.9562199846639 |
| 4000-055 |   100 |  -8.605739971904882 |  41.14421500877677 |
| 4000-216 |   100 |  -8.603245014605704 |  41.14914997999995 |
| 4000-272 |   100 |  -8.605990004076546 |  41.15202501469861 |
| 4000-307 |   100 |  -8.606365010424724 | 41.160734985564204 |
| 4050-318 |   100 |  -8.625410035543837 |  41.15091998649348 |
| 4050-496 |   100 |   -8.61347495979328 | 41.153969993421015 |
| 4100-012 |   100 |   -8.64255999617393 |  41.16509001290672 |
| 4100-127 |   100 |  -8.631584983613152 | 41.158250002729744 |
| 4100-205 |   100 |  -8.651834991132773 | 41.167804995164204 |
| 4150-262 |   100 |  -8.649235008586686 |  41.15390000452936 |
| 4150-441 |   100 |  -8.665875014227765 | 41.162480013986396 |
| 4200-056 |   100 |   -8.61360999225326 | 41.180574992290076 |
| 4200-163 |   100 |  -8.608410027161426 |  41.18449001162526 |
| 4200-222 |   100 |  -8.600785009842696 |  41.16449498160034 |
| 4200-282 |   100 |  -8.588015012716824 | 41.176710012916885 |
| 4200-422 |   100 |   -8.61192497825806 |  41.17177998701669 |
| 4200-509 |   100 |  -8.612050036253436 |  41.16793001125001 |
| 4250-117 |   100 |  -8.628564983899025 |  41.16745500879722 |
| 4300-190 |   100 |  -8.597955027873581 |  41.15136498173308 |
| 4300-431 |   100 |  -8.589050010120957 |  41.14946501383076 |
| 4350-102 |   100 |  -8.577545009822359 |  41.16118999717821 |
| 4350-171 |   100 |  -8.589165009832413 | 41.165669998696956 |
| 4400-004 |   100 |  -8.607809966713035 |   41.1220250097673 |
| 4400-097 |   100 |   -8.61455002269446 |  41.12814501446127 |
| 4400-309 |   100 |   -8.61253995849404 |  41.12299001827989 |
| 4400-501 |   100 |  -8.642910024450543 |  41.12534998502832 |
| 4405-677 |   100 |  -8.633590018671669 |   41.0764500038124 |
| 4405-830 |   100 |  -8.618914982592173 |  41.10094498428572 |
| 4410-220 |   100 |  -8.629299992988422 |  41.02442499763538 |
| 4410-227 |   100 |  -8.601220030617469 |  41.07894500302103 |
| 4410-406 |   100 |  -8.636695010884068 | 41.062554987642216 |
| 4415-284 |   100 |  -8.573254984139055 | 41.066060006183534 |
| 4415-386 |   100 |   -8.56984371718471 |  41.05535375934818 |
| 4415-534 |   100 |   -8.55718503173307 |  41.02445500484879 |
| 4415-803 |   100 |  -8.514019990579243 | 41.040320019722174 |
| 4420-155 |   100 |  -8.531534983092683 | 41.146170003873465 |
| 4420-210 |   100 |  -8.534335041667532 |  41.14052001440001 |
| 4420-437 |   100 |  -8.558265039957234 | 41.141089983815846 |
| 4425-005 |   100 |  -8.559960028417379 | 41.202154998296066 |
| 4425-116 |   100 |  -8.562445011251839 | 41.205879999886236 |
| 4430-047 |   100 |  -8.605114262832842 | 41.130518015069185 |
| 4430-121 |   100 |  -8.600624999311037 | 41.123515018785156 |
| 4430-196 |   100 |  -8.606774969308901 | 41.117465002982726 |
| 4430-267 |   100 |   -8.58650995818266 | 41.125835003855514 |
| 4430-299 |   100 |  -8.573820008232076 | 41.118254997356985 |
| 4435-208 |   100 |  -8.553754989315564 |  41.16778999155747 |
| 4435-289 |   100 |  -8.546734977768153 | 41.167409997977074 |
| 4435-346 |   100 |  -8.559591308496692 |  41.17800761534738 |
| 4435-350 |   100 |  -8.540964121250852 |  41.17769916131067 |
| 4435-374 |   100 |  -8.550349086779306 | 41.187396352732264 |
