
|                                                                                :pr/k | :nec |                                    :imt/name | :imt/nec |                                                                :obs |
|                                                               santos-e-gamelas-00108 |  108 |                             Santos e Gamelas |      108 |                                                                     |
|                                                                       mafrense-00109 |  109 |                                     Mafrense |      109 |                                                                     |
|                                                                      louletana-00111 |  111 |                                    Louletana |      111 |                                                                     |
|                                                                      tavirense-00112 |  112 |                                    Tavirense |      112 |                                                                     |
|                                                                auto-marinhense-00113 |  113 |                              Auto Marinhense |      113 |                                                                     |
|                                                                    a-confianca-00117 |  117 |                                    Confiança |      117 |                                                                     |
|                                                                   jose-justino-00119 |  119 |                                 José Justino |      119 |                                                                     |
|                                                                      limarense-00120 |  120 |                                    Limarense |      120 |                                                                     |
|                                                      auto-instrutora-de-ilhavo-00121 |  121 |                    Auto Instrutora do Ílhavo |      121 |                                                                     |
|                                                                    alcacerense-00122 |  122 |                                  Alcacerense |      122 |                                                                     |
|                                                                         devesa-00123 |  123 |                                              |          |                              license 123 is 'Famalicense' in imt.pt |
|                                                                  auto-caldense-00126 |  126 |                                Auto Caldense |      126 |                                                                     |
|                                                                     auto-marao-00128 |  128 |                                   Auto Marão |      128 |                                                                     |
|                                                                     supertubos-00129 |  129 |                                   Supertubos |      129 |                                                                     |
|                                                                       nordeste-00131 |  131 |                                     Nordeste |      131 |                                                                     |
|                                                                   portimonense-00133 |  133 |                                 Portimonense |      133 |                                                                     |
|                                                                  penafidelense-00134 |  134 |                                Penafidelense |      134 |                                                                     |
|                                                                     beira-alta-00137 |  137 |                                   Beira Alta |      137 |                                                                     |
|                                                                   ponte-de-sor-00139 |  139 |                                 Ponte de Sor |      139 |                                                                     |
|                                                                   sertagenense-00142 |  142 |                                              |          |                                                                     |
|                                                                      benavente-00143 |  143 |                                              |          |                                                                     |
|                                                                   riomaiorense-00144 |  144 |                                Rio Maiorense |      144 |                                                                     |
|                                                             oliveira-do-bairro-00147 |  147 |                           Oliveira do Bairro |      147 |                                                                     |
|                                                                           bavi-00148 |  148 |                                         Bavi |      148 |                                                                     |
|                                                                          alges-00149 |  149 |                                        Algés |      149 |                                                                     |
|                                                                   a-figueiredo-00151 |  151 |                                 A Figueiredo |      151 |                                                                     |
|                                                                       alenquer-00154 |  154 |                            Ideal de Alenquer |      154 |                                                                     |
|                                                              central-de-loures-00156 |  156 |                            Central de Loures |      156 |                                                                     |
|                                                                  a-barreirense-00164 |  164 |                                  Barreirense |      164 |                                                                     |
|                                                                     brigantina-00165 |  165 |                                   Brigantina |      165 |                                                                     |
|                                                                   auto-cadaval-00166 |  166 |                                 Auto Cadaval |      166 |                                                                     |
|                                                                     sobralense-00168 |  168 |                                   Sobralense |      168 |                                                                     |
|                                                                       ovarense-00172 |  172 |                                     Ovarense |      172 |                                                                     |
|                                                                   s-bartolomeu-00175 |  175 |                                S. Bartolomeu |      175 |                                                                     |
|                                                                    a-marcoense-00177 |  177 |                                    Marcoense |      177 |                                                                     |
|                                                                     do-sardoal-00178 |  178 |                                   Do Sardoal |      178 |                                                                     |
|                                                                    alcobacense-00179 |  179 |                                  Alcobacense |      179 |                                                                     |
|                                                                        fafense-00181 |  181 |                                      Fafense |      181 |                                                                     |
|                                                                 costa-de-prata-00182 |  182 |                               Costa de Prata |      182 |                                                                     |
|                                                            victoria-seixalense-00185 |  185 |                                              |          |                                                                     |
|                                                                santa-margarida-00189 |  189 |                              Santa Margarida |      189 |                                                                     |
|                                                                       alem-rio-00190 |  190 |                                     Além Rio |      190 |                                                                     |
|                                                             infante-d-henrique-00191 |  191 |                          Infante D. Henrique |      191 |                                                                     |
|                                                                    oliveirense-00192 |  192 |                                  Oliveirense |      192 |                                                                     |
|                                                                         patria-00193 |  193 |                                       Pátria |      193 |                                                                     |
|                                                                          diana-00194 |  194 |                                        Diana |      194 |                                                                     |
|                                                            s-cristovao-gouveia-00195 |  195 |                       S. Cristóvão - Gouveia |      195 |                                                                     |
|                                                                       silvense-00197 |  197 |                                     Silvense |      197 |                                                                     |
|                                                                       santarem-00201 |  201 |                                     Santarém |      201 |                                                                     |
|                                                                          costa-00203 |  203 |                                              |          |                                                                     |
|                                                              auto-do-bombarral-00204 |  204 |                            Auto do Bombarral |      204 |                                                                     |
|                                                                     tondelense-00206 |  206 |                                   Tondelense |      206 |                                                                     |
|                                                           infante-sagres-lagoa-00207 |  207 |                    Infante de Sagres - Lagoa |      207 |                                                                     |
|                                                                   almeirinense-00209 |  209 |                                              |          |                                                                     |
|                                                                         queluz-00210 |  210 |                                       Queluz |      210 |                                                                     |
|                                                                 castanheirense-00213 |  213 |                               Castanheirense |      213 |                                                                     |
|                                                                  armando-vitor-00215 |  215 |                               Armando Victor |      215 |                                                                     |
|                                                                 a-gomes-guarda-00216 |  216 |                                      A Gomes |      216 |                                                                     |
|                                                                  reis-trancoso-00220 |  220 |                                Reis Trancoso |      220 |                                                                     |
|                                         automobilistica-d-nuno-alvares-pereira-00229 |  229 |      Automobilística D. Nuno Álvares Pereira |      229 |                                                                     |
|                                                                   covilhanense-00230 |  230 |                                 Covilhanense |      230 |                                                                     |
|                                                                 automovel-ajar-00231 |  231 |                               Automóvel Ajar |      231 |                                                                     |
|                                                                    arganilense-00232 |  232 |                                  Arganilense |      232 |                                                                     |
|                                                                       azambuja-00233 |  233 |                                     Azambuja |      233 |                                                                     |
|                                                                    mr-ascencao-00235 |  235 |                               M. R. Ascenção |      235 |                                                                     |
|                                                                        amadora-00237 |  237 |                                      Amadora |      237 |                                                                     |
|                                                                     alvaiazere-00239 |  239 |                                   Alvaiázere |      239 |                                                                     |
|                                                                     aguiarense-00240 |  240 |                                   Aguiarense |      240 |                                                                     |
|                                                                        nisense-00241 |  241 |                                              |          |                                                                     |
|                                                                       mealhada-00243 |  243 |                                     Mealhada |      243 |                                                                     |
|                                                                        elvense-00245 |  245 |                                              |          |                                                                     |
|                                                                          soure-00246 |  246 |                                        Soure |      246 |                                                                     |
|                                                                          crato-00248 |  248 |                                        Crato |      248 |                                                                     |
|                                                                    calipolense-00249 |  249 |                                  Calipolense |      249 |                                                                     |
|                                                           a-ideal-de-esposende-00256 |  256 |                          A Ideal - Esposende |      256 |                                                                     |
|                                                                    sambrasense-00259 |  259 |                                  Sambrasense |      259 |                                                                     |
|                                                                  aljustrelense-00260 |  260 |                                Aljustrelense |      260 |                                                                     |
|                                                                          covas-00266 |  266 |                                        Covas |      266 |                                                                     |
|                                                         automobilista-de-moura-00267 |  267 |                        Automobilista - Moura |      267 |                                                                     |
|                                                                    campo-maior-00268 |  268 |                                  Campo Maior |      268 |                                                                     |
|                                                                   siiimpleavis-00269 |  269 |                                              |          |                               license 269 is 'Alentejana' in imt.pt |
|                                                                        vitoria-00272 |  272 |                                     Victória |      272 |                                                                     |
|                                                                    bom-sucesso-00283 |  283 |                                  Bom Sucesso |      283 |                                                                     |
|                                                                    a-poiarense-00287 |  287 |                                  A Poiarense |      287 |                                                                     |
|                                                                  vasco-da-gama-00288 |  288 |                                Vasco da Gama |      288 |                                                                     |
|                                                                     arouquense-00290 |  290 |                                   Arouquense |      290 |                                                                     |
|                                                                     caminhense-00294 |  294 |                                   Caminhense |      294 |                                                                     |
|                                                                    sabugalense-00295 |  295 |                                  Sabugalense |      295 |                                                                     |
|                                                                         sousel-00296 |  296 |                                       Sousel |      296 |                                                                     |
|                                                                       campanha-00297 |  297 |                                     Campanhã |      297 |                                                                     |
|                                                                   cabeceirense-00299 |  299 |                                 Cabeceirense |      299 |                                                                     |
|                                                              unidos-do-volante-00300 |  300 |                                              |          |                                                                     |
|                                                                        redondo-00301 |  301 |                                      Redondo |      301 |                                                                     |
|                                                              siiimplemarinhais-00302 |  302 |                                              |          |                      license 302 is 'Salvaterra de Magos' in imt.pt |
|                                                                  vasco-da-gama-00305 |  305 |                                Vasco da Gama |      305 |                                                                     |
|                                                                       penacova-00307 |  307 |                                     Penacova |      307 |                                                                     |
|                                                                pero-da-covilha-00308 |  308 |                                      Pacense |      308 |                                                                     |
|                                                  automobilista-carregal-do-sal-00311 |  311 |             Automobilista do Carregal do Sal |      311 |                                                                     |
|                                                           moderna-castro-daire-00312 |  312 |                       Moderna - Castro Daire |      312 |                                                                     |
|                                                             infante-do-restelo-00315 |  315 |                           Infante do Restelo |      315 |                                                                     |
|                                                                       courense-00317 |  317 |                                     Courense |      317 |                                                                     |
|                                                           memmartins-algueirao-00318 |  318 |                        Mem Martins-Algueirão |      318 |                                                                     |
|                                                                      fronteira-00319 |  319 |                                    Fronteira |      319 |                                                                     |
|                                                                    figueirense-00322 |  322 |                                  Figueirense |      322 |                                                                     |
|                                                                          apolo-00323 |  323 |                                        Apolo |      323 |                                                                     |
|                                                                       serpense-00324 |  324 |                                        Serpa |      324 |                                                                     |
|                                                                        imperio-00325 |  325 |                                      Império |      325 |                                                                     |
|                                                                      ana-paula-00327 |  327 |                                    Ana Paula |      327 |                                                                     |
|                                                                       murcense-00330 |  330 |                                     Murcense |      330 |                                                                     |
|                                                                        o-farol-00333 |  333 |                                              |          |                       license 333 is 'Estrela de Almeida' in imt.pt |
|                                                                     mirandense-00334 |  334 |                                   Mirandense |      334 |                                                                     |
|                                                                      manteigas-00335 |  335 |                                    Manteigas |      335 |                                                                     |
